"","zipcode","total","information","professional","per"
"392",91608,16574,13864,131,0.84439483528418
"393",91609,14,NA,NA,NA
"394",91610,51,0,0,0
"395",91614,34,0,3,0.0882352941176471
"396",91615,152,NA,NA,NA
"397",91616,1,NA,NA,NA
"398",91617,10,NA,0,NA
"399",91702,17038,117,385,0.029463552060101
"400",91706,34779,0,704,0.0202421001178872
"401",91709,15676,0,507,0.0323424342944629
"402",91710,47370,64,1356,0.029976778551826
"403",91711,14703,41,792,0.0566551044004625
"404",91714,76,NA,NA,NA
"405",91715,1450,NA,7,NA
"406",91716,1555,NA,NA,NA
"407",91722,8331,0,131,0.0157244028327932
"408",91723,8083,74,295,0.0456513670666832
"409",91724,7569,27,680,0.0934073193288413
"410",91731,19892,278,429,0.0355419264025739
"411",91732,6783,44,42,0.0126787557128114
"412",91733,19834,62,467,0.026671372390844
"413",91734,989,NA,0,NA
"414",91740,11865,103,602,0.0594184576485461
"415",91741,5636,11,225,0.0418736692689851
"416",91744,13767,73,320,0.0285465242972325
"417",91745,16560,0,466,0.0281400966183575
"418",91746,19865,0,511,0.0257236345330984
"419",91747,472,NA,NA,NA
"420",91748,31768,255,1044,0.0408902039788466
"421",91749,645,NA,NA,NA
"422",91750,12011,64,381,0.0370493714095413
"423",91754,20031,237,1350,0.0792271978433428
"424",91755,6628,10,140,0.0226312613156307
"425",91759,90,NA,0,NA
"426",91765,18983,97,1304,0.0738028762577043
"427",91766,16923,493,269,0.0450274773976245
"428",91767,14885,0,147,0.00987571380584481
"429",91768,18728,24,341,0.0194895343870141
"430",91769,1232,0,NA,NA
"431",91770,18388,113,363,0.0258864476832717
"432",91773,19683,1285,989,0.115531169029111
"433",91775,3090,7,91,0.0317152103559871
"434",91776,12552,85,965,0.0836520076481836
"435",91778,1017,NA,0,NA
"436",91780,6346,29,187,0.0340371887803341
"437",91788,320,0,6,0.01875
"438",91789,24501,85,992,0.0439573894943064
"439",91790,15068,142,377,0.0344438545261481
"440",91791,10684,0,256,0.0239610632721827
"441",91792,4132,17,161,0.0430784123910939
"442",91793,37,NA,NA,NA
"443",91801,17076,147,704,0.04983602717264
"444",91802,402,NA,11,NA
"445",91803,9437,25,287,0.0330613542439335
"446",92397,556,0,9,0.0161870503597122
"447",92821,45324,351,2937,0.0725443473656341
"448",92823,3633,0,139,0.0382603908615469
"449",93243,2562,NA,19,NA
"450",93510,1422,5,30,0.0246132208157525
"451",93523,624,NA,81,NA
"452",93532,2331,0,0,0
"453",93534,27859,105,1117,0.0438637424171722
"454",93535,11166,59,164,0.0199713415726312
"455",93536,11103,127,137,0.0237773574709538
"456",93539,165,0,0,0
"457",93543,978,0,0,0
"458",93544,148,NA,NA,NA
"459",93550,18489,119,494,0.0331548488290335
"460",93551,14793,256,349,0.0408977218954911
"461",93552,3468,10,5,0.00432525951557093
"462",93553,492,NA,NA,NA
"463",93560,1673,0,39,0.0233114166168559
"464",93563,31,NA,NA,NA
"465",93584,38,NA,NA,NA
"466",93586,9,NA,NA,NA
"467",93590,168,NA,NA,NA
"468",93591,524,NA,NA,NA
